route_id,route_short_name,route_long_name,route_sort_order,full_desc,array_entry,,
100,,MAX Blue Line,100,MAX Blue Line,<item>MAX Blue Line</item>,"routeLookup.put(""MAX Blue Line"", ""100"");","routeLookup.put(""100"", ""MAX Blue Line"");"
200,,MAX Green Line,110,MAX Green Line,<item>MAX Green Line</item>,"routeLookup.put(""MAX Green Line"", ""200"");","routeLookup.put(""200"", ""MAX Green Line"");"
90,,MAX Red Line,120,MAX Red Line,<item>MAX Red Line</item>,"routeLookup.put(""MAX Red Line"", ""90"");","routeLookup.put(""90"", ""MAX Red Line"");"
190,,MAX Yellow Line,130,MAX Yellow Line,<item>MAX Yellow Line</item>,"routeLookup.put(""MAX Yellow Line"", ""190"");","routeLookup.put(""190"", ""MAX Yellow Line"");"
203,,WES Commuter Rail,150,WES Commuter Rail,<item>WES Commuter Rail</item>,"routeLookup.put(""WES Commuter Rail"", ""203"");","routeLookup.put(""203"", ""WES Commuter Rail"");"
193,NS Line,Portland Streetcar ,200,NS Line - Portland Streetcar ,<item>NS Line - Portland Streetcar </item>,"routeLookup.put(""NS Line - Portland Streetcar "", ""193"");","routeLookup.put(""193"", ""NS Line - Portland Streetcar "");"
194,CL Line,Portland Streetcar ,250,CL Line - Portland Streetcar ,<item>CL Line - Portland Streetcar </item>,"routeLookup.put(""CL Line - Portland Streetcar "", ""194"");","routeLookup.put(""194"", ""CL Line - Portland Streetcar "");"
208,,Portland Aerial Tram,300,Portland Aerial Tram,<item>Portland Aerial Tram</item>,"routeLookup.put(""Portland Aerial Tram"", ""208"");","routeLookup.put(""208"", ""Portland Aerial Tram"");"
1,1,Vermont,400,1-Vermont,<item>1-Vermont</item>,"routeLookup.put(""1-Vermont"", ""1"");","routeLookup.put(""1"", ""1-Vermont"");"
4,4,Division/Fessenden,600,4-Division/Fessenden,<item>4-Division/Fessenden</item>,"routeLookup.put(""4-Division/Fessenden"", ""4"");","routeLookup.put(""4"", ""4-Division/Fessenden"");"
6,6,Martin Luther King Jr Blvd,800,6-Martin Luther King Jr Blvd,<item>6-Martin Luther King Jr Blvd</item>,"routeLookup.put(""6-Martin Luther King Jr Blvd"", ""6"");","routeLookup.put(""6"", ""6-Martin Luther King Jr Blvd"");"
8,8,Jackson Park/NE 15th,1000,8-Jackson Park/NE 15th,<item>8-Jackson Park/NE 15th</item>,"routeLookup.put(""8-Jackson Park/NE 15th"", ""8"");","routeLookup.put(""8"", ""8-Jackson Park/NE 15th"");"
9,9,Powell Blvd,1100,9-Powell Blvd,<item>9-Powell Blvd</item>,"routeLookup.put(""9-Powell Blvd"", ""9"");","routeLookup.put(""9"", ""9-Powell Blvd"");"
10,10,Harold St,1300,10-Harold St,<item>10-Harold St</item>,"routeLookup.put(""10-Harold St"", ""10"");","routeLookup.put(""10"", ""10-Harold St"");"
11,11,Rivergate/Marine Dr,1400,11-Rivergate/Marine Dr,<item>11-Rivergate/Marine Dr</item>,"routeLookup.put(""11-Rivergate/Marine Dr"", ""11"");","routeLookup.put(""11"", ""11-Rivergate/Marine Dr"");"
12,12,Barbur/Sandy Blvd,1500,12-Barbur/Sandy Blvd,<item>12-Barbur/Sandy Blvd</item>,"routeLookup.put(""12-Barbur/Sandy Blvd"", ""12"");","routeLookup.put(""12"", ""12-Barbur/Sandy Blvd"");"
14,14,Hawthorne,1700,14-Hawthorne,<item>14-Hawthorne</item>,"routeLookup.put(""14-Hawthorne"", ""14"");","routeLookup.put(""14"", ""14-Hawthorne"");"
15,15,Belmont/NW 23rd,1800,15-Belmont/NW 23rd,<item>15-Belmont/NW 23rd</item>,"routeLookup.put(""15-Belmont/NW 23rd"", ""15"");","routeLookup.put(""15"", ""15-Belmont/NW 23rd"");"
16,16,Front Ave/St Helens Rd,1900,16-Front Ave/St Helens Rd,<item>16-Front Ave/St Helens Rd</item>,"routeLookup.put(""16-Front Ave/St Helens Rd"", ""16"");","routeLookup.put(""16"", ""16-Front Ave/St Helens Rd"");"
17,17,Holgate/Broadway,2000,17-Holgate/Broadway,<item>17-Holgate/Broadway</item>,"routeLookup.put(""17-Holgate/Broadway"", ""17"");","routeLookup.put(""17"", ""17-Holgate/Broadway"");"
18,18,Hillside,2300,18-Hillside,<item>18-Hillside</item>,"routeLookup.put(""18-Hillside"", ""18"");","routeLookup.put(""18"", ""18-Hillside"");"
19,19,Woodstock/Glisan,2400,19-Woodstock/Glisan,<item>19-Woodstock/Glisan</item>,"routeLookup.put(""19-Woodstock/Glisan"", ""19"");","routeLookup.put(""19"", ""19-Woodstock/Glisan"");"
20,20,Burnside/Stark,2600,20-Burnside/Stark,<item>20-Burnside/Stark</item>,"routeLookup.put(""20-Burnside/Stark"", ""20"");","routeLookup.put(""20"", ""20-Burnside/Stark"");"
21,21,Sandy Blvd/223rd,2650,21-Sandy Blvd/223rd,<item>21-Sandy Blvd/223rd</item>,"routeLookup.put(""21-Sandy Blvd/223rd"", ""21"");","routeLookup.put(""21"", ""21-Sandy Blvd/223rd"");"
